current_row_id,current_material_label,pollutant,temperature,solution_ph,initial_concentration,response,match_method,source_paper,source_row_id,source_record_uid,source_material_label,source_reference,verified_material_group,source_study_id,source_citation,source_doi_or_url,material_identity_evidence,provenance_confidence,original_material_label,grouping_rule
43,CC450,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),44.0,44.0,CC450,[3],Zama2017::CC450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC450,source study + source-specific material label
44,CC550,Pb2+,25,5.5,0.0029,0.0028,exact material + condition + response,Zhu et al. (2019),45.0,45.0,CC550,[3],Zama2017::CC550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC550,source study + source-specific material label
45,CC550,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),46.0,46.0,CC550,[3],Zama2017::CC550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC550,source study + source-specific material label
46,CC550,Pb2+,25,5.5,0.0048,0.0046,exact material + condition + response,Zhu et al. (2019),47.0,47.0,CC550,[3],Zama2017::CC550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC550,source study + source-specific material label
47,CC650,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),48.0,48.0,CC650,[3],Zama2017::CC650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC650,source study + source-specific material label
48,CC650,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),49.0,49.0,CC650,[3],Zama2017::CC650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC650,source study + source-specific material label
49,CC650,Pb2+,25,5.5,0.0048,0.0047,exact material + condition + response,Zhu et al. (2019),50.0,50.0,CC650,[3],Zama2017::CC650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CC650,source study + source-specific material label
50,MW350,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),51.0,51.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
51,MW350,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),52.0,52.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
52,MW350,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),53.0,53.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
53,MW450,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),54.0,54.0,MW450,[3],Zama2017::MW450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW450,source study + source-specific material label
54,MW450,Pb2+,25,5.5,0.0039,0.0038,exact material + condition + response,Zhu et al. (2019),55.0,55.0,MW450,[3],Zama2017::MW450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW450,source study + source-specific material label
55,MW450,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),56.0,56.0,MW450,[3],Zama2017::MW450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW450,source study + source-specific material label
56,MW550,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),57.0,57.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
57,MW550,Pb2+,25,5.5,0.0039,0.0039,exact material + condition + response,Zhu et al. (2019),58.0,58.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
58,MW550,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),59.0,59.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
59,MW650,Pb2+,25,5.5,0.0029,0.0029,exact material + condition + response,Zhu et al. (2019),60.0,60.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
60,MW650,Pb2+,25,5.5,0.0039,0.0039,exact material + condition + response,Zhu et al. (2019),61.0,61.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
61,MW650,Pb2+,25,5.5,0.0048,0.0048,exact material + condition + response,Zhu et al. (2019),62.0,62.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
