dataset,source_row_id,task_label,source_study_id,source_citation,source_doi_or_url,original_material_label,verified_material_group,grouping_rule,provenance_confidence
Dataset II,21,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,22,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,23,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,24,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,25,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,26,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,27,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,28,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,29,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,30,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,31,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,32,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,33,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,34,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,35,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,36,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,37,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,38,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,39,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,40,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,41,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,42,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,43,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,44,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,45,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,46,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,47,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,48,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,49,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,50,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,51,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,52,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,53,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,54,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,55,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,56,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,57,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,58,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,59,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,60,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,61,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,62,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,63,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,64,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,65,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,66,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,67,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,68,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,69,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,70,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,71,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,72,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,73,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,74,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,75,Mn(VII),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,76,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,77,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,78,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,79,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,80,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,81,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,82,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,83,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,84,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,85,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,86,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,87,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,88,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,89,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,90,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,91,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,PBPB,Kim2020_Banana::PBPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,92,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
Dataset II,93,Fe(III),Kim2020_Banana,"Kim et al., Removal efficiencies of manganese and iron using pristine and phosphoric acid pre-treated biochars made from banana peels, Water 12 (2020) 1173.",https://doi.org/10.3390/w12041173,BPB,Kim2020_Banana::BPB,source study + source-specific material label,material label and source study verified from source article/SI
